Quality_Score,Species,Owner,Country of Origin,Company,Altitude,Region,Producer,Number of Bags,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Color,Category Two Defects,Certification Body,date_diff
84.58,Arabica,Juan Luis Alvarado Romero,Guatemala,"Armajaro Guatemala, S. A.",5000 FT.,JALAPA,ROBERTO MONTERROSO,250,Asociacion Nacional Del Café,2014-01-01 00:00:00,2014-05-29,Pacas,Completed,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,Sample  84.58,11%,0 full defects,Green,1 full defects,Asociacion Nacional Del Café,365
84.58,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNEX (GUATEMALA), S.A.",4000 PSN,ORIENTE,AMILCAR LAPOLA,250,Asociacion Nacional Del Café,2014-01-01 00:00:00,2014-03-24,Bourbon,Completed,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,Sample  84.58,9%,0 full defects,Green,0 full defects,Asociacion Nacional Del Café,365
84.58,Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,ecom cca sa,1550,Santander,N/A,250,Almacafé,2013-01-01 00:00:00,2013-12-20,Caturra,Completed,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,Sample  84.58,0%,0 full defects,None,0 full defects,Almacafé,365
84.58,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,1600 a 1900 msnm,Huila,La Plata,75,Almacafé,2013-01-01 00:00:00,2013-12-06,Caturra,Completed,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,Sample  84.58,0%,0 full defects,None,5 full defects,Almacafé,365
84.58,Arabica,Taylor Winch (Coffee) Ltd.,Kenya,Taylor Winch (Coffee) Ltd.,N/A,Unknown,changeru wet mill,11,Kenya Coffee Traders Association,2013-01-01 00:00:00,2013-08-30,SL28,Completed,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,Sample  84.58,0%,0 full defects,Green,0 full defects,Kenya Coffee Traders Association,365
84.58,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1750 msnm,Huila,N/A,250,Almacafé,2012-01-01 00:00:00,2013-07-17,Caturra,Completed,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,Sample  84.58,0%,0 full defects,Green,2 full defects,Almacafé,365
84.58,Arabica,LUSSO LAB,Costa Rica,LUSSO COFFEE LAB,1450 ~ 1700 m,Tres Rios,N/A,1,Specialty Coffee Association,2012-01-01 00:00:00,2013-03-12,Bourbon,Completed,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,Sample  84.58,12%,0 full defects,Bluish-Green,2 full defects,Specialty Coffee Association,365
84.58,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1800 msnm,huila,varios,250,Almacafé,2012-01-01 00:00:00,2012-10-09,Caturra,Completed,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,Sample  84.58,11%,0 full defects,Green,6 full defects,Almacafé,365
84.58,Arabica,NUCOFFEE,Brazil,NUCOFFEE,1300m,Vale da Grama,Homero Texeira de Macedo Junior,37,NUCOFFEE,2011-01-01 00:00:00,2011-12-23,Bourbon,Completed,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,Sample  84.58,12%,0 full defects,Green,2 full defects,NUCOFFEE,365
84.58,Arabica,NUCOFFEE,Brazil,NUCOFFEE,1100m,Mountains of Minas Gerais,Geraldo Paixão,35,NUCOFFEE,2011-01-01 00:00:00,2011-12-03,Catuai,Completed,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,Sample  84.58,11%,0 full defects,Blue-Green,1 full defects,NUCOFFEE,365
84.5,Arabica,Max Gurdian,Costa Rica,Beneficios Volcafé Costa Rica,1200,Valle Central,Various,275,Specialty Coffee Association of Costa Rica,2017-01-01 00:00:00,2017-11-28,Caturra,Completed,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,Sample  84.50,10%,0 full defects,Bluish-Green,2 full defects,Specialty Coffee Association of Costa Rica,365
84.5,Arabica,ECOM Japan Limited,Uganda,Kawacom uganda LTD,1750,Eastern Uganda,Kawacom Uganda Ltd,200,Uganda Coffee Development Authority,2016-01-01 00:00:00,2017-03-14,SL14,Completed,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,Sample  84.50,11%,0 full defects,Green,1 full defects,Uganda Coffee Development Authority,365
84.5,Arabica,Yunnan Coffee Exchange,China,Yunnan Coffee Exchange,1680,Yunnan Province Pu'er City Menglian County,Menglian Ban’an Coffee Processing Factory,3,Yunnan Coffee Exchange,2015-01-01 00:00:00,2016-04-06,Catimor,Completed,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,Sample  84.50,10%,0 full defects,Green,1 full defects,Yunnan Coffee Exchange,365
84.5,Arabica,Fabian Calderon Mora,Costa Rica,Coopetarrazú.R.L,1700,Tarrazú,Coopetarrazú,250,Specialty Coffee Association of Costa Rica,2014-01-01 00:00:00,2015-07-06,Caturra,Completed,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,Sample  84.50,11%,0 full defects,Green,0 full defects,Specialty Coffee Association of Costa Rica,365
84.5,Arabica,Federacion Nacional de Cafeteros,Colombia,Federacion Nacional de Cafeteros,1800,Cauca,N/A,275,Almacafé,2015-01-01 00:00:00,2015-06-05,Other,Completed,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,Sample  84.50,12%,1 full defects,Green,0 full defects,Almacafé,365
84.5,Arabica,Eric Wu,China,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",Above 1100m,"Pu'er City, Yunnan, China","PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1,Specialty Coffee Association,2013-01-01 00:00:00,2014-06-16,Other,Completed,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,Sample  84.50,0%,0 full defects,Green,2 full defects,Specialty Coffee Association,365
84.5,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNEX (GUATEMALA),S.A",4300,ORIENTE,LUIS RODRIGUEZ,250,Asociacion Nacional Del Café,2013-01-01 00:00:00,2013-02-26,Bourbon,Completed,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,Sample  84.50,11%,0 full defects,Green,2 full defects,Asociacion Nacional Del Café,365
84.5,Arabica,Dream Together,Kenya,Dream together Co. Ltd,2000 m,"Nyeri province, Kenya",N/A,235,Specialty Coffee Institute of Asia,2012-01-01 00:00:00,2012-09-16,SL28,Completed,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,Sample  84.50,11%,0 full defects,Blue-Green,0 full defects,Specialty Coffee Institute of Asia,365
84.5,Arabica,MARIA IMELDA USCANGA MARTINEZ,Mexico,N/A,1350,HUSTUSCO,MARIA IMELDA USCANGA MARTINEZ,56,AMECAFE,2012-01-01 00:00:00,2012-07-11,Typica,Completed,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,Sample  84.50,12%,0 full defects,Green,0 full defects,AMECAFE,365
84.5,Arabica,ALFREDO BOJALIL,Mexico,ECOMTRADING,1500,JALTENANGO,SANTIAGO JOSE ARGUELLO CAMPOS,250,AMECAFE,2012-01-01 00:00:00,2012-06-06,Typica,Completed,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,Sample  84.50,11%,0 full defects,None,4 full defects,AMECAFE,365
84.5,Arabica,Juan Luis Alvarado Romero,Guatemala,"TRANSCAFE, S.A",N/A,"EL TUMBADOR, SAN MARCOS","AGRICOLA NUEVA GRANADA, S.A",250,Asociacion Nacional Del Café,2012-01-01 00:00:00,2012-02-16,Bourbon,Completed,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,Sample  84.50,11%,0 full defects,Green,2 full defects,Asociacion Nacional Del Café,365
84.5,Arabica,Daniel Friedlander,Brazil,N/A,mmm,mmm,mmm,27,NUCOFFEE,N/A,2011-03-23,Other,Completed,Other,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,Sample  84.50,0%,0 full defects,None,4 full defects,NUCOFFEE,365
84.5,Arabica,Alexandra Katona-Carroll,Brazil,N/A,TEST,TEST,N/A,320,NUCOFFEE,N/A,2011-03-22,Other,Completed,Other,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,Sample  84.50,0%,2 full defects,None,0 full defects,NUCOFFEE,365
84.42,Arabica,Max Gurdian,Costa Rica,Beneficios Volcafé Costa Rica,1300,Tarrazu,Beneficio San Diego,275,Specialty Coffee Association of Costa Rica,2016-01-01 00:00:00,2017-03-23,Caturra,Completed,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,Sample  84.42,10%,0 full defects,Blue-Green,3 full defects,Specialty Coffee Association of Costa Rica,365
84.42,Arabica,Aulia Arif Syahri,Indonesia,PT. Olam Indonesia,1400,Sumatra Brastagi - Indonesia,Surbakti,200,Specialty Coffee Association,2017-01-01 00:00:00,2017-03-14,Mandheling,Completed,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,Sample  84.42,0%,0 full defects,Blue-Green,3 full defects,Specialty Coffee Association,365
84.42,Arabica,CARCAFE LTDA CI,Colombia,CARCAFE LTDA,N/A,Pitalito-Huila,FRANKLIN DUSSAN,304,Almacafé,2015-01-01 00:00:00,2016-01-25,Caturra,Completed,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,Sample  84.42,0%,0 full defects,Green,1 full defects,Almacafé,365
84.42,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275,Almacafé,2014-01-01 00:00:00,2014-07-09,Caturra,Completed,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,Sample  84.42,0%,0 full defects,Green,3 full defects,Almacafé,365
84.42,Arabica,Kao Ming Lee,Taiwan,Tropica Galliard,1200M,"Mountain Ali, Taiwan",Kao Ming Lee,2,Specialty Coffee Association,2012-01-01 00:00:00,2013-07-10,Typica,Completed,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,Sample  84.42,11%,0 full defects,Blue-Green,0 full defects,Specialty Coffee Association,365
84.42,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Cooperative,N/A,KONA,N/A,5,Specialty Coffee Association,2012-01-01 00:00:00,2013-01-21,Hawaiian Kona,Completed,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,Sample  84.42,11%,0 full defects,Blue-Green,1 full defects,Specialty Coffee Association,365
84.42,Arabica,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Mexico,Finca Hamburgo,900,TAPACHULA,MARIA AMALIA GUADALUPE TORIELLO ELORZA,69,AMECAFE,2012-01-01 00:00:00,2012-06-06,Pacamara,Completed,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,Sample  84.42,12%,2 full defects,None,4 full defects,AMECAFE,365
84.42,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,N/A,Limu,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,Ethiopia Commodity Exchange,2009-01-01 00:00:00,2010-06-17,Other,Completed,Other,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,Sample  84.42,20%,0 full defects,None,2 full defects,Ethiopia Commodity Exchange,365
84.33,Arabica,Lydiah Mwangi,Kenya,C. Dorman limited,1800,Nyeri,mutheka,150,Kenya Coffee Traders Association,2017-01-01 00:00:00,2017-08-03,SL28,Completed,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,Sample  84.33,11%,0 full defects,Green,4 full defects,Kenya Coffee Traders Association,365
84.33,Arabica,Bismarck Castro,Honduras,CIGRAH S.A DE C.V,1500,Comayagua,Nahun Maldonado,275,Instituto Hondureño del Café,2016-01-01 00:00:00,2017-05-11,Caturra,Completed,Other,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,Sample  84.33,10%,0 full defects,Green,3 full defects,Instituto Hondureño del Café,365
84.33,Arabica,Raúl Vargas,Colombia,SKN CARIBECAFE LTDA,N/A,Huila,N/A,275,Almacafé,2016-01-01 00:00:00,2017-02-20,Caturra,Completed,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,Sample  84.33,0%,0 full defects,Green,5 full defects,Almacafé,365
84.33,Arabica,Bismarck Castro,Honduras,CIGRAH S.A DE C.V,1500,Central Region,Reinerio Zepeda,275,Instituto Hondureño del Café,2016-01-01 00:00:00,2016-04-04,Catuai,Completed,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,Sample  84.33,11%,0 full defects,Green,2 full defects,Instituto Hondureño del Café,365
84.33,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,N/A,La Plata,N/A,275,Almacafé,2016-01-01 00:00:00,2016-02-16,Other,Completed,Other,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,Sample  84.33,0%,0 full defects,None,4 full defects,Almacafé,365
84.33,Arabica,CARCAFE LTDA CI,Colombia,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN / ANDRES RODRIGUEZ/HIPOLITO TORRES,250,Almacafé,2015-01-01 00:00:00,2015-04-29,Caturra,Completed,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,Sample  84.33,11%,6 full defects,Green,0 full defects,Almacafé,365
84.33,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1800,huila,N/A,275,Almacafé,2013-01-01 00:00:00,2013-07-19,Caturra,Completed,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,Sample  84.33,0%,0 full defects,Green,0 full defects,Almacafé,365
84.33,Arabica,VICTOR HUGO MELCHOR CORDOVA,Mexico,N/A,1700,TUXTLA GUTIERREZ,VICTOR HUGO MELCHOR CORDOVA,100,AMECAFE,2012-01-01 00:00:00,2012-07-27,Typica,Completed,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,Sample  84.33,12%,0 full defects,Blue-Green,1 full defects,AMECAFE,365
84.33,Arabica,NUCOFFEE,Brazil,N/A,1200m to 1350m,Vale da Grama,Lucia Maria da Silva Dias,75,NUCOFFEE,2011-01-01 00:00:00,2011-10-28,Yellow Bourbon,Completed,Other,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,Sample  84.33,0%,0 full defects,None,4 full defects,NUCOFFEE,365
84.33,Arabica,NUCOFFEE,Brazil,N/A,900-1200m,South Minas Gerais,Antônio Pelucio,80,NUCOFFEE,2011-01-01 00:00:00,2011-10-28,Other,Completed,Other,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,Sample  84.33,2%,0 full defects,None,2 full defects,NUCOFFEE,365
84.33,Arabica,Benjamin Schmerler,Ethiopia,N/A,3600-6200 ft,Limu (Southwest Ethiopia),Oromia Coffee Farmers Cooperative Union,1,Specialty Coffee Association,N/A,2011-06-14,Other,Completed,Other,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,Sample  84.33,0%,0 full defects,None,1 full defects,Specialty Coffee Association,365
84.33,Arabica,The Coffee Source Inc.,Guatemala,N/A,4400-4700 ft,Nuevo Oriente,Miguel Hernandez,250,Specialty Coffee Association,2009-01-01 00:00:00,2010-04-30,Other,Completed,Other,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,Sample  84.33,4%,1 full defects,None,1 full defects,Specialty Coffee Association,365
84.25,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Taiwan Coffee Laboratory,1000,國姓鄉 Guoshing Township,黃美桃 Huang Mei Tao,10,Specialty Coffee Association,2016-01-01 00:00:00,2017-08-10,Typica,Completed,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,Sample  84.25,12%,0 full defects,Blue-Green,0 full defects,Specialty Coffee Association,365
84.25,Arabica,松澤宏樹 Koju Matsuzawa,Thailand,Matsuzawa Coffee,1200,Chiang Rai THAILAND,Matsuzawa Coffee,20,Specialty Coffee Institute of Asia,2015-01-01 00:00:00,2016-11-02,Catimor,Completed,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,Sample  84.25,12%,0 full defects,Green,0 full defects,Specialty Coffee Institute of Asia,365
84.25,Arabica,CARCAFE LTDA CI,Colombia,CARCAFE LTDA CI,2560,NARIÑO,JOSE ALBEIRO GOMEZ,275,Almacafé,2016-01-01 00:00:00,2016-08-05,Caturra,Completed,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,Sample  84.25,11%,0 full defects,Green,2 full defects,Almacafé,365
84.25,Arabica,Juan Luis Alvarado Romero,Guatemala,"SIEMBRAS VISION, S.A.",1500,ANTIGUA,FINCA MEDINA,230,Asociacion Nacional Del Café,2016-01-01 00:00:00,2016-05-23,Caturra,Completed,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,Sample  84.25,11%,0 full defects,Green,4 full defects,Asociacion Nacional Del Café,365
84.25,Arabica,Juan Luis Alvarado Romero,Guatemala,"EXPORTCAFE, S.A.",3607,HUEHUETENANGO,HORACIO CIFUENTES MARTINEZ,275,Asociacion Nacional Del Café,2015-01-01 00:00:00,2016-04-06,Caturra,Completed,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,Sample  84.25,10%,0 full defects,Green,1 full defects,Asociacion Nacional Del Café,365
84.25,Arabica,Yunnan Coffee Exchange,China,Yunnan Coffee Exchange,1400,Yunnan Province Pu'er City Menglian County Nayun Town,Menglian County Nayun Town Mangzhang Coffee Farm,3,Yunnan Coffee Exchange,2015-01-01 00:00:00,2016-04-06,Catimor,Completed,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,Sample  84.25,10%,0 full defects,Green,1 full defects,Yunnan Coffee Exchange,365
84.25,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275,Almacafé,2015-01-01 00:00:00,2015-11-19,Caturra,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,Sample  84.25,11%,0 full defects,Green,3 full defects,Almacafé,365
84.25,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,248,Almacafé,2015-01-01 00:00:00,2015-10-26,Caturra,Completed,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,Sample  84.25,12%,4 full defects,Green,2 full defects,Almacafé,365
84.25,Arabica,Federacion Nacional de Cafeteros,Colombia,Federacion Nacional de Cafeteros,1800,Cauca,N/A,275,Almacafé,2015-01-01 00:00:00,2015-06-05,Other,Completed,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,Sample  84.25,12%,0 full defects,Green,0 full defects,Almacafé,365
84.25,Arabica,CARCAFE LTDA CI,Colombia,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,250,Almacafé,2015-01-01 00:00:00,2015-04-29,Caturra,Completed,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,Sample  84.25,12%,3 full defects,Green,0 full defects,Almacafé,365
84.25,Arabica,Tembo Coffee Company Ltd,Tanzania,Tembo Coffee Company Ltd,1620M,Shizingo Village,Tembo Coffee Company Ltd,10,Africa Fine Coffee Association,2014-01-01 00:00:00,2014-12-12,Other,Completed,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,Sample  84.25,12%,0 full defects,Green,7 full defects,Africa Fine Coffee Association,365
84.25,Arabica,Taylor Winch (T) Ltd,Tanzania,Taylor Winch(T) Ltd,1600,Mbeya,Taylor Winch (T) ltd,65,Africa Fine Coffee Association,2014-01-01 00:00:00,2014-12-12,Other,Completed,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,Sample  84.25,12%,0 full defects,Green,2 full defects,Africa Fine Coffee Association,365
84.25,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,Asociacion Nacional Del Café,2014-01-01 00:00:00,2014-08-21,Bourbon,Completed,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,Sample  84.25,10%,0 full defects,Green,1 full defects,Asociacion Nacional Del Café,365
84.25,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1700,cauca,N/A,250,Almacafé,2013-01-01 00:00:00,2013-10-01,Caturra,Completed,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,Sample  84.25,11%,0 full defects,Green,2 full defects,Almacafé,365
84.25,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Cooperative,N/A,KONA,N/A,7,Specialty Coffee Association,2012-01-01 00:00:00,2012-12-11,Hawaiian Kona,Completed,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,Sample  84.25,11%,1 full defects,Bluish-Green,1 full defects,Specialty Coffee Association,365
84.25,Arabica,JESUS SALAZAR VELASCO,Mexico,CARAJILLO CAFÉ SA DE CV,1450,SAN PEDRO COTZILNAM,JESUS SALAZAR VELASCO,10,AMECAFE,2012-01-01 00:00:00,2012-09-11,Typica,Completed,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,Sample  84.25,12%,0 full defects,Green,1 full defects,AMECAFE,365
84.25,Arabica,MANUEL HERRERA JUAREZ,Mexico,N/A,1170,"TEOCELO, VERACRUZ",MANUEL HERRERA JUAREZ,20,AMECAFE,2012-01-01 00:00:00,2012-04-09,Bourbon,Completed,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,Sample  84.25,12%,0 full defects,Green,0 full defects,AMECAFE,365
84.25,Arabica,ALFREDO BOJALIL,Mexico,ECOMTRADING,1400,"LA CONCORDIA, CHIAPAS",ERNST POHLENZ AGUILAR,250,AMECAFE,2012-01-01 00:00:00,2012-04-02,Bourbon,Completed,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,Sample  84.25,10%,0 full defects,Bluish-Green,4 full defects,AMECAFE,365
84.25,Arabica,AFCA,Uganda,Bukonzo Joint CFS,1700m,Kasese,N/A,1,Africa Fine Coffee Association,2012-01-01 00:00:00,2012-02-13,Other,Completed,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,Sample  84.25,13%,4 full defects,Green,29 full defects,Africa Fine Coffee Association,365
84.17,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNEX GUATEMALA, S.A.",1700,SAN MARCOS,JORGE LEAL,50,Asociacion Nacional Del Café,2017-01-01 00:00:00,2017-06-01,Bourbon,Completed,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,Sample  84.17,13%,0 full defects,Green,1 full defects,Asociacion Nacional Del Café,365
84.17,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,N/A,Huila,La Plata,250,Almacafé,2016-01-01 00:00:00,2016-08-19,Caturra,Completed,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,Sample  84.17,0%,0 full defects,Green,2 full defects,Almacafé,365
84.17,Arabica,Wayner Jimenez,Costa Rica,Exclusive Coffee - Costa Rica,1700,Tarrazu,Los Angeles Micro-Mill (Ricardo Calderón),150,Specialty Coffee Association of Costa Rica,2016-01-01 00:00:00,2016-08-19,Caturra,Completed,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,Sample  84.17,9%,0 full defects,Bluish-Green,2 full defects,Specialty Coffee Association of Costa Rica,365
84.17,Arabica,Juan Luis Alvarado Romero,Guatemala,"EXPORTCAFE, S.A.",3664,HUEHUETENANGO,DARY COLMAN ALVARADO VILLATORO,275,Asociacion Nacional Del Café,2016-01-01 00:00:00,2016-06-23,Caturra,Completed,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,Sample  84.17,11%,0 full defects,Green,6 full defects,Asociacion Nacional Del Café,365
84.17,Arabica,Juan Luis Alvarado Romero,Guatemala,CAFCOM,1565,SOLOLA,FERNANDO FAHSEN,377,Asociacion Nacional Del Café,2016-01-01 00:00:00,2016-06-01,Caturra,Completed,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,Sample  84.17,10%,0 full defects,Green,10 full defects,Asociacion Nacional Del Café,365
84.17,Arabica,Juan Luis Alvarado Romero,Guatemala,"UNEX GUATEMALA, S.A.",3280,NORTE,CHAPULTEPEC,130,Asociacion Nacional Del Café,2016-01-01 00:00:00,2016-06-01,Bourbon,Completed,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,Sample  84.17,10%,0 full defects,Green,2 full defects,Asociacion Nacional Del Café,365
84.17,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275,Almacafé,2015-01-01 00:00:00,2015-08-18,Caturra,Completed,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,Sample  84.17,0%,0 full defects,Bluish-Green,0 full defects,Almacafé,365
84.17,Arabica,COOPERATIVA EL GORRION R.L,Nicaragua,COOPERATIVA EL GORRION R.L,de 900 a 1100 msnm,"Jinotega, Nicaragua",COOPERATIVA EL GORRION RL,275,Specialty Coffee Association of Costa Rica,2015-01-01 00:00:00,2015-08-03,Caturra,Completed,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,Sample  84.17,12%,0 full defects,Bluish-Green,0 full defects,Specialty Coffee Association of Costa Rica,365
